Delaunay polytope 64 vertices centrally symmetric
 0 1 1 1 0 0 -2
 1 1 1 1 0 0 -3
 0 0 1 1 0 0 -1
 1 0 1 1 0 0 -2
 0 1 1 1 -1 0 -1
 1 1 1 1 -1 0 -2
 0 0 1 1 -1 0 0
 1 0 1 1 -1 0 -1
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 1 1 1 -1 -1
 1 0 1 1 1 -1 -2
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 1 1 0 -1 0
 1 0 1 1 0 -1 -1
 0 1 0 1 0 1 -2
 1 1 0 1 0 1 -3
 0 0 0 1 0 1 -1
 1 0 0 1 0 1 -2
 0 1 0 1 -1 1 -1
 1 1 0 1 -1 1 -2
 0 0 0 1 -1 1 0
 1 0 0 1 -1 1 -1
 0 1 0 1 1 0 -2
 1 1 0 1 1 0 -3
 0 0 0 1 1 0 -1
 1 0 0 1 1 0 -2
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 0 -1 0 0
 1 1 1 0 -1 0 -1
 0 0 1 0 -1 0 1
 1 0 1 0 -1 0 0
 0 1 1 0 1 -1 -1
 1 1 1 0 1 -1 -2
 0 0 1 0 1 -1 0
 1 0 1 0 1 -1 -1
 0 1 1 0 0 -1 0
 1 1 1 0 0 -1 -1
 0 0 1 0 0 -1 1
 1 0 1 0 0 -1 0
 0 1 0 0 0 1 -1
 1 1 0 0 0 1 -2
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 0 -1 1 0
 1 1 0 0 -1 1 -1
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 32 vertices
 0 1 1 1 1 -1 -2
 1 1 1 1 1 -1 -3
 0 0 0 0 0 1 0
 1 0 0 0 0 1 -1
 0 1 0 0 1 0 -1
 1 1 0 0 1 0 -2
 0 0 0 0 1 0 0
 1 0 0 0 1 0 -1
 0 1 0 1 0 0 -1
 1 1 0 1 0 0 -2
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 1 0 1 1 -1 -1
 1 1 0 1 1 -1 -2
 0 0 -1 0 0 1 1
 1 0 -1 0 0 1 0
 0 1 1 0 0 0 -1
 1 1 1 0 0 0 -2
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 1 1 0 1 -1 -1
 1 1 1 0 1 -1 -2
 0 0 0 -1 0 1 1
 1 0 0 -1 0 1 0
 0 1 1 1 0 -1 -1
 1 1 1 1 0 -1 -2
 0 0 0 0 -1 1 1
 1 0 0 0 -1 1 0
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
Delaunay polytope 32 vertices centrally symmetric
 -1 0 0 0 0 1 1
 0 0 0 0 0 1 0
 -1 -1 -1 0 -1 2 3
 0 0 0 1 1 0 -1
 -1 -1 0 -1 -1 2 3
 0 0 1 0 1 0 -1
 -1 -1 0 0 0 1 2
 0 -1 0 0 0 1 1
 -1 0 -1 -1 -1 2 3
 0 1 0 0 1 0 -1
 -1 0 -1 0 0 1 2
 0 0 -1 0 0 1 1
 -1 0 0 -1 0 1 2
 0 0 0 -1 0 1 1
 -1 -1 -1 -1 -1 2 4
 0 0 0 0 1 0 0
 0 0 0 0 -1 1 1
 1 1 1 1 1 -1 -3
 0 0 0 1 0 0 0
 1 0 0 1 0 0 -1
 0 0 1 0 0 0 0
 1 0 1 0 0 0 -1
 0 -1 0 0 -1 1 2
 1 0 1 1 1 -1 -2
 0 1 0 0 0 0 0
 1 1 0 0 0 0 -1
 0 0 -1 0 -1 1 2
 1 1 0 1 1 -1 -2
 0 0 0 -1 -1 1 2
 1 1 1 0 1 -1 -2
 0 0 0 0 0 0 1
 1 0 0 0 0 0 0
